norwegian,english
krigen,the war
eget,own
stikke,sting
antar,guess
dr.,dr.
ben,legs
vant,used to
ønsket,desired
stikker,sticks
hvite,white
høyre,right
historien,the story
david,David
michael,michael
beskjed,message
husk,remember
tjeneste,service
føle,feel
lå,lay
høyt,loud
største,largest
kort,card
kastet,thrown
slåss,fight
vinner,winner
sjefen,the boss
natten,the night
skadet,hurt
skyt,shoot
rør,tube
spill,game
sjef,boss
født,born
særlig,especially
kompis,buddy
kontoret,the office
sjekke,check
huske,remember
glemte,forgot
umulig,impossible
dessverre,unfortunately
spesielt,especially
person,person
doktor,doctor
bevis,proof
sendt,sent
falt,fell
flytte,move
mister,lost
drittsekk,shit
plan,plan
by,city
nødt,have to
forhold,relationship
vennene,the friends
farvel,farewell
klokken,the clock
kult,cult
steder,places
opptatt,busy
noensinne,ever
stoler,chairs
sover,sleeping
stolt,proud
skyter,shoots
raskt,quickly
mike,Mike
peter,peter
verdens,of the world
sjekk,check
vanlig,usual
svart,black
skynd,hurry up
vinne,win
rolle,role
vannet,the water
ødelegge,destroy
vare,commodity
james,James
dame,lady
overalt,everywhere
søster,sister
tuller,kidding
smart,smart
kjørte,drove
joe,joe
skylder,owes
skriver,writes
passe,fit
alvorlig,serious
skatt,treasure
president,president
lykkelig,happy
menneske,human
ødelagt,destroyed
planen,the plan
kjæresten,the girlfriend
sekunder,seconds
stikk,stick
hånden,the hand
drink,drink
bilde,picture
george,george
ordne,arrange
leder,manager
mrs.,Mrs.
kjøpte,bought
døden,death
fest,feast
tv,tv
forstått,understood
forlate,leave
selge,sell
skål,toast
brukt,used
arbeid,work
iblant,occasionally
ordre,order
minste,smallest
sterk,strong
kamp,match
prøvd,tried
satte,put
fortsetter,continues
miste,lose
lurte,wondered
dyr,animal
bord,table
onkel,uncle
deler,parts
følg,follow
søsteren,the sister
savner,misses
fortjener,deserves
øl,beer
lik,equal
sju,seven
tingene,the things
plutselig,sudden
hvilket,which
sykehuset,the hospital
send,send
skipet,the ship
slikt,such
søt,sweet
lyver,lying
kvinnen,the woman
møtt,met
glemt,forgotten
kroppen,the body
guds,God's
interessert,interested
mrs,Mrs
harry,harry
midt,middle
ni,nine
ligge,lie
sjansen,the chance
mennene,the men
interessant,interesting
lærer,teacher
skaffe,provide
okay,okay
kontroll,control
stjal,stole
savnet,missing
forelsket,in love
bill,bill
merkelig,odd
enig,agreed
lege,doctor
fungerer,works
general,general
baby,baby
usa,usa
kl,at
forbi,past
sulten,hungry
glemme,forget
lys,light
lukk,close
kalle,call
flyet,the plane
flyttet,moved
pent,nice
verste,worst
lærte,learned
hender,hands
sluttet,ended
ære,honor
innen,within
kutt,cut
øyne,eyes
ryggen,the back
fleste,most
agent,agent
hjalp,helped
eier,owner
personlig,personal
mary,mary
jim,Jim
nyheter,news
elske,love
kaste,throw
snu,turn around
dumt,stupid
hjerte,heart
sprø,crispy
blant,among
følte,felt
nydelig,lovely
øye,eye
arbeidet,the work
fanget,caught
danny,danny
bob,bob
meter,meters
unnskyldning,excuse
angrep,attack
morges,in the morning
mening,opinion
løs,loose
jentene,the girls
lagt,laid
jævel,damn
drikker,drinks
dumme,stupid
bilder,pictures
forrige,previous
trekk,feature
etterpå,afterwards
informasjon,information
advokat,lawyer
tilgi,forgive
pleide,used to
bildet,the picture
folkens,guys
slutter,ends
sov,slept
både,both
jorden,the earth
slike,such
kjempe,giant
levende,alive
lukter,smells
maten,the food
fbi,fbi
ma,Ma
trygg,safe
film,film
betalt,paid
alex,alex
kongen,the king
ordner,arranges
ferdige,finished
høy,high
møtes,meet
selger,seller
virket,worked
het,hot
området,the area
presidenten,the president
fine,fine
kaster,throws
fru,mrs
viste,showed
støtte,support
n,n
syntes,seemed
drep,kill
ræva,ass
forsvant,disappeared
skrevet,written
talt,spoken
tredje,third
telefon,telephone
lag,layer
lyset,the light
reiser,travels
hund,dog
slått,beaten
sjekket,checked
velge,select
pen,pretty
stakkars,poor
filmen,the movie
heldig,lucky
kjøper,buyer
moro,fun
nick,nick
håret,the hair
kampen,the match
løy,lied
kjæreste,boyfriend
festen,the party
enten,either
valgte,chose
ray,ray
bortsett,except
møtte,met
paul,Paul
munnen,the mouth
nærmere,closer
måned,month
ordentlig,proper
liksom,like
forandret,changed
respekt,respect
spor,track
kalte,called
forlot,left
oberst,colonel
takke,thank
spørsmålet,the question
møter,meetings
stakk,stuck
frue,Madam
himmelen,the sky
hvilke,which ones
ene,one
besøk,visit
dritten,the shit
pistolen,the gun
ringt,called
billy,billy
mål,goal
retten,the court
halv,half
nærheten,the vicinity
glede,pleasure
merke,brand
legen,the doctor
stans,stop
johnny,johnny
london,london
frøken,Miss
saker,matters
bedt,asked
lært,learned
greier,stuff
årene,the years
tjener,servant
vakkert,beautiful
pleier,carer
slutten,the end
bekymre,worry
greia,the thing
klær,clothing
tii,shut up
tegn,sign
hunden,the dog
trist,sad
henry,Henry
gave,gift
trygt,safe
ungene,the kids
prater,talking
fange,prisoner
forferdelig,terrible
minst,least
martin,martin
sarah,Sarah
jesus,jesus
makt,power
gravid,pregnant
båten,the boat
danse,dance
steve,Steve
ekstra,extra
ansvar,responsibility
spilte,played
håpet,the hope
stemme,voice
fikse,fix
åh,oh
fullt,full
kvitt,Quit
innom,stop by
faller,falls
hundre,hundred
meget,a lot
politi,police
flytt,move
lunsj,lunch
stol,chair
våpenet,the weapon
såret,the wound
lest,read
tjene,serve
hjernen,the brain
skogen,the forest
musikk,music
svare,respond
lurt,wise
poenget,the point
frisk,fresh
#VALUE!,#VALUE!
krever,requires
sikkerhet,security
drap,murder
vakre,beautiful
sjekker,checks
dårlige,bad
bestemt,particular
herlig,delightful
bordet,the table
thomas,Thomas
skip,ship
jævlig,damn
dele,share
bok,book
konge,king
o,o
nummeret,the number
jake,jacket
tommy,Tommy
max,max
nødvendig,necessary
fører,leads
glipp,miss
likt,liked
blå,blue
minner,memories
taket,the ceiling
sverger,swear
lete,search
starte,start
vennligst,please
leke,play
tilhører,belongs to
jimmy,jimmy
dypt,deep
leser,reader
trøbbel,trouble
paris,Paris
nervøs,nervous
begynt,begun
nøyaktig,exact
karer,guys
drøm,dream
bakken,the ground
starter,starts
mangler,missing
altfor,too much
bry,bother
trenge,need
selskap,company
høyere,higher
truffet,hit
knapt,barely
glemmer,forgets
forresten,by the way
sånne,like that
startet,started
spiste,ate
hopp,jump
spist,eaten
kirken,the church
bytte,prey
stoppet,stopped
liket,the corpse
trekke,draw
ødela,destroyed
håp,hope
endre,change
hemmelig,secret
will,will
tony,Tony
sikre,ensure
møttes,met
folkene,the people
overleve,survive
situasjonen,the situation
ordet,the word
seriøst,seriously
omtrent,approximately
bodde,lived
inni,inside
folket,the people
hel,whole
stand,condition
målet,the target
ifølge,according to
mark,Mark
hvit,white
bevise,prove
velger,chooses
dommer,judge
vinduet,the window
leiligheten,the apartment
bank,bank
gleder,pleases
taper,loser
kast,throw
lngen,No one
glass,glass
grunnen,the reason
bestemor,grandmother
stopper,stops
løytnant,lieutenant
unngå,avoid
lovet,promised
kyss,kiss
forlater,leaves
åpner,opens
oppdaget,discovered
blåser,blows
dessuten,moreover
nøkkelen,the key
overraskelse,surprise
fikser,fix
typen,the type
bygge,build
leste,read
brev,letter
tull,nonsense
nekter,refuses
dratt,dragged
greie,fine
menneskene,the people
ansikt,face
type,type
stjele,steal
våkne,wake
følelser,emotions
løpe,run
bestemmer,decides
mulighet,possibility
te,tea
låne,lend
elskling,sweetheart
eldre,older
robert,robert
sees,See you
kalles,is called
iallfall,in any case
fornøyd,satisfied
frokost,breakfast
ødelegger,destroys
sexy,sexy
guttene,the boys
loven,the law
gratis,free
ren,pure
hår,hair
engelsk,English
fars,father's
beholde,keep
kontor,office
maria,Maria
inntil,until
åpen,open
drømmer,dreams
bar,bar
arrestert,arrested
klærne,the clothes
spesiell,special
pistol,pistol
tilfelle,case
kall,call
vin,wine
chris,chris
km,km
blodet,the blood
lette,easy
stjålet,stolen
beina,the legs
avtalen,the agreement
toget,the train
varmt,hot
sakene,the cases
derfra,from there
slag,battle
vakt,guard
spennende,exciting
fulgte,followed
morsom,funny
deilig,delicious
stykker,pieces
walter,Walter
le,laugh
overrasket,surprised
kjenne,feel
stadig,ever
date,date
lure,wonder
varm,warm
red,ed
sang,song
koster,costs
mora,mother
trekker,pulls
giftet,married
gata,street
flaks,luck
fryktelig,terribly
forandre,change
henger,hanging
øyeblikket,the moment
synge,sing
gutta,the guys
angrepet,the attack
foreldre,parents
ende,end
hull,hole
spis,eat
fy,damn
nåde,grace
claire,Claire
begynnelsen,the beginning
takket,thanked
hvile,rest
is,ice
sersjant,sergeant
sann,True
kjøpt,purchased
amerikanske,American
eddie,eddie
løse,solve
richard,Richard
tale,speech
svaret,the answer
oppdrag,mission
reglene,the rules
uskyldig,innocent
sørge,mourn
funker,works
røde,red
skyldig,guilty
vitne,witness
vilje,will
svarer,answers
sprøtt,crazy
flytter,moving
professor,professor
unger,children
natta,the night
soldater,soldiers
gull,gold
valgt,selected
sen,Late
herren,the gentleman
føre,lead
armen,the arm
kaldt,cold
åpnet,opened
slett,simply
året,the year
tida,the time
of,of
amerika,America
flyr,flies
betjent,valet
kamerat,comrade
treffer,hits
kalt,called
start,start
gulvet,the floor
skape,create
karen,the fellow
brenner,burning
scott,scott
våpnene,the weapons
eksempel,example
charles,Charles
forsøk,try
boken,the book
gale,crazy
direkte,direct
anna,another
løper,running
enhver,anyone
stein,stone
ulykke,accident
toppen,the top
hotellet,the hotel
frykt,fear
kjøkkenet,the kitchen
enige,agreed
kødder,meats
forsvinner,disappears
halsen,the neck
hesten,the horse
major,major
city,city
ifra,from
bobby,bobby
rent,clean
stengt,closed
ender,ducks
oppfattet,perceived
minutt,minute
reis,trip
morder,killer
hest,horse
styrke,strength
bildene,the pictures
sparken,fired
stiller,poses
jane,jane
prosent,percent
veggen,the wall
alvor,seriously
oi,oh
besøke,visit
dan,dan
sykehus,hospital
washington,washington
bety,mean
adjø,goodbye
form,shape
bryte,break
forretninger,business
halvparten,half
vanlige,common
lettere,easier
systemet,the system
pust,breath
planer,plans
behøver,need
lyve,lie
team,team
havet,the sea
søtt,sweet
tanken,the thought
endret,changed
stemmen,the voice
soldat,soldier
verken,neither
spillet,the game
fanken,the fuck
ligner,resembles
møtet,the meeting
tross,despite
street,street
neppe,hardly
dave,deaf
bære,carry
løpet,the race
dean,dean
lovte,promised
minne,remind
kjemper,fights
normalt,normally
rene,clean
skader,damage
hæren,the army
poeng,point
munn,mouth
selvmord,suicide
titt,look
ungen,the kid
kjempet,fought
teller,counting
ettermiddag,afternoon
hore,hear
pause,pause
magen,the stomach
onde,evil
bestefar,grandfather
løgner,liar
kule,cool
merket,marked
dama,the lady
betalte,paid
tøff,tough
arbeider,worker
trengs,are needed
skudd,shot
fulle,drunk
carl,Carl
kate,Kate
fullstendig,complete
prat,talk
babyen,the baby
rik,rich
rike,rich
samtidig,simultaneous
vill,wild
samlet,collected
diskutere,discuss
na,now
søker,applicant
personer,persons
sara,Sara
tante,aunt
million,million
kapteinen,the captain
leker,toys
nærmer,approaching
oppdraget,the mission
butikken,the store
san,San
havnet,landed
senga,the bed
sjel,soul
hellige,holy
alder,age
bærer,carries
kraft,force
fredag,Friday
dukket,appeared
mord,murder
kjedelig,boring
hils,greetings
plager,troubles
viktigste,most important
rachel,rachel
and,duck
nevnte,mentioned
knulle,fuck
nøklene,the keys
tydeligvis,obviously
tvil,doubt
tillatelse,permission
hevn,vengeance
ordnet,arranged
ler,laughing
hemmelighet,secret
hendt,happened
løgn,lie
intet,nothing
evig,eternal
topp,top
hendte,happened
igjennom,through
fisk,fish
våken,awake
lee,lee
solgte,sold
rød,red
utmerket,excellent
skriv,write
hilse,greet
sheriff,sheriff
vanligvis,usually
virke,seem
simon,Simon
smerte,pain
mexico,mexico
henge,hang
gjøres,is done
bussen,the bus
nord,north
fremtiden,the future
seng,bed
dukker,dolls
spøk,joke
hentet,picked up
hoppe,jump
regnet,the rain
lengre,further
william,william
overfor,opposite
fjerne,remove
fienden,the enemy
england,England
vii,vii
morgenen,the morning
meningen,the meaning
overlever,survives
jason,Jason
andy,andy
privat,private
pratet,chatted
åpenbart,obviously
rask,fast
svin,swine
gjemme,hide
angående,regarding.
drit,crap
beskytter,protector
skjule,hide
styre,board
banken,the bank
drikk,drink
driter,crap
daniel,Daniel
elskede,beloved
rekker,enough
havner,ports
øya,the island
love,lion
grei,fine
kjørt,driven
røre,stir
eric,Eric
amy,Amy
sengen,the bed
lord,lord
orker,endure
glade,happy
naturligvis,naturally
samtalen,the conversation
bryllupet,the wedding
skru,screw
luke,hatch
jævelen,the bastard
politimann,policeman
frihet,freedom
bryter,switch
mørket,the darkness
omkring,about
stolte,proud
firmaet,the company
adam,adam
tanke,thought
luft,air
ulovlig,illegal
les,read
jepp,yep
voksen,adult
ed,oath
tviler,doubt
pakke,package
syv,seven
sko,shoe
dekk,deck
ringen,the ring
sørg,sorrow
knust,crushed
college,college
lady,lady
brøt,broke
kilometer,kilometer
viktige,important
d,d
biler,cars
feiler,fails
båt,boat
regler,rules
mottatt,received
late,pretend
partner,partner
bygningen,the building
kjøtt,meat
nylig,recently
gråt,cried
leilighet,apartment
latterlig,ridiculous
samle,collect
raskere,faster
kevin,kevin
virkelige,real
forventer,expect
sporet,the track
mobilen,the mobile phone
bråk,noise
vokste,grew
musikken,the music
damen,the lady
tingen,the thing
boka,the book
feire,celebrate
passet,the pass
skole,school
halvt,half
per,per
karene,the fellows
fjor,last year
ulike,various
delen,the part
kle,dress
tolv,twelve
forlatt,abandoned
morderen,the killer
rekke,row
låst,locked
brødre,brothers
sterkere,stronger
drakk,drank
skaper,creates
e,e
baren,the bar
stasjonen,the station
foreslår,suggests
barry,barry
drive,drive
strålende,brilliant
verst,worst
hank,handle
regjeringen,the government
lagde,made
spurt,asked
forsvinn,disappear
sterke,strong
truet,threatened
kysse,kiss
mørke,darkness
oh,oh
puste,breathe
oliver,olives
fader,father
scenen,the stage
helgen,the weekend
majestet,majesty
rører,stirring
smil,smile
tøft,tough
forsvinne,disappear
personen,the person
varme,heat
skai,skai
ild,fire
mester,champion
farten,the speed
uka,week
lange,long
stanse,stop
mørkt,dark
suger,sucks
skremmer,scares
vidt,widely
matt,matt
gjemmer,hiding
foretrekker,prefer
gruppe,group
javel,yes
hen,there
egg,egg
forsto,understood
trygge,safe
slem,naughty
situasjon,situation
skritt,step
skapt,created
tydelig,clearly
sur,sad
snilt,kindly
prisen,the price
ferie,holiday
kul,cool
danser,dancer
begynn,begin
grensen,the border
lede,lead
mors,mother's
planlagt,planned
forskjellige,different
solgt,sold
dans,dance
solen,the sun
byttet,changed
felles,common
tape,lose
fortiden,the past
nøye,carefully
tanker,mind
snakkes,is spoken
arthur,arthur
søte,sweet
ri,ride
press,pressure
tankene,the thoughts
våknet,woke up
kelly,kelly
presentere,present
måter,ways
advokaten,the lawyer
maggie,Maggie
texas,texas
fantes,existed
nyhetene,the news
flykte,escape
gjett,guess
trodd,believed
lucy,lucy
fart,speed
kald,cold
susan,Susan
komplisert,complicated
rose,rose
fatter,understands
jones,jones
handle,act
våkner,wakes up
do,die
falle,fall
gjeng,gang
listen,the list
synger,sings
bein,leg
don,Don
hatet,hated
skremte,scared
amerikansk,American
modig,brave
forvirret,confused
lørdag,Saturday
toalettet,the toilet
levere,deliver
beinet,the leg
gråte,cry
au,ouch
fanger,prisoner
handlet,acted
jorda,the earth
kameraet,the camera
trøtt,tired
jerry,Jerry
savne,miss
kjærligheten,the love
bestemte,determined
fiender,enemies
etasje,story
myrdet,murdered
knuse,smash
brenne,burn
bestemme,decide
kopp,cup
anelse,clue
kar,dude
fælt,awful
syke,sick
skjebne,fate
hær,army
runde,round
hoppet,jumped
rettferdig,fair
brevet,the letter
hard,hard
ansatte,employees
sterkt,strongly
dronning,queen
fortere,faster
california,California
felle,trap
skremme,scare
mistenkte,suspect
hindre,hinder
hopper,jumping
hjemmet,the home
villig,willing
vist,shown
penny,penny
phil,phil
tapt,lost
bud,bid
doc,doc
jord,earth
røyk,smoke
alan,alan
drapet,the murder
latt,laughed
samtale,call
årevis,for years
lyden,the sound
trener,coach
middagen,the dinner
ansvarlig,responsible
hode,head
kilo,kilo
følelse,feeling
lyder,sounds
kurs,course
meste,mostly
t,t
los,loose
førte,led
tenner,teeth
forsvare,defend
skjønte,understood
smaker,flavors
posisjon,position
vaske,wash
alice,alice
arbeide,work
miles,miles
gråter,crying
merker,brands
oppmerksomhet,attention
visse,certain
kong,king
ante,ante
later,pretending
offer,victim
dop,dope
al,eel
forholdet,the relationship
våger,dares
ålreit,eel right
oppfører,behaves
travelt,busy
forslag,proposal
forskjell,difference
hånda,the hand
bad,bath
avslutte,terminate
hemmeligheter,secrets
mareritt,nightmare
kropp,body
tomt,plot
vold,violence
regner,is raining
levde,lived
fungere,function
søren,the south
forsvunnet,disappeared
howard,Howard
ensom,lonely
skam,shame
adressen,the address
turen,the trip
høye,high
involvert,involved
sannsynligvis,probably
panikk,panic
søvn,sleep
luften,the air
roger,roger
svak,weak
tapte,lost
brian,Brian
badet,the bathroom
kjelleren,the basement
porten,the gate
unntatt,except
takler,copes
fengselet,the prison
frankrike,France
klasse,class
kim,Kim
programmet,the program
vits,joke
hotell,hotel
bøker,books
leonard,Leonard
dekket,covered
forklarer,explains
morgan,tomorrow
big,big
ofre,sacrifice
ryan,ryan
liste,list
pike,girl
lykkes,succeed
linda,linda
rar,weird
data,data
kysset,the kiss
forbanna,cursed
blind,blind
lisa,Lisa
ted,ted
smak,taste
helvetes,hellish
bygget,built
varer,goods
kvinnene,the women
løfte,lift
hjørnet,the corner
offentlig,public
skapte,created
hjelpen,the help
behold,keep
filmer,films
hjel,death
flyplassen,the airport
mandag,Monday
skoene,the shoes
stod,stood
ballen,the ball
område,area
enkelte,individual
støtter,supports
valget,the election
whisky,whisky
vunnet,won
skuffet,disappointed
chuck,chuck
opprørt,upset
chicago,chicago
stjeler,steals
halve,half
larry,larry
flotte,great
blomster,flowers
rotet,the mess
melding,message
medisin,medicine
forandrer,changes
dust,jerk
uvanlig,unusual
dagens,of today
grace,grace
styrer,controls
dømt,convicted
erfaring,experience
kjolen,the dress
kniven,the knife
sakte,slowly
drev,drove
overlevde,survived
ekteskap,marriage
etterforsker,investigator
myndighetene,the authorities
reist,traveled
sjalu,jealous
fransk,French
rick,rick
null,zero
føttene,the feet
joey,joey
amen,amen
angår,concerns
enkel,simple
presset,the pressure
anne,Anne
sparket,fired
jakt,hunt
hjulpet,helped
via,via
brukes,is used
ment,intended
